Born,City,Pr/St,Cntry,Nat,Ht,Wt,DftYr,DftRd,Ovrl,Hand,Debut,Age,Seasons,NHLid,CorsicaID,H-Ref Name,Last Name,First Name,Position,Team,GP,G,A,A1,PTS,Rnk,Gap,PTS/GP,PAX,GC,+/-,E+/-,PIM,Shifts,TOI,TOI,TOI,TOI,TOI/GP,TOI%,IPP%,iCF,iCF,iCF,iFF,iFF,iSF,iSCF,iHDCF,iRush,iReb,iDS,ixG,sDist,Pass,TOff,TOff/60,OZS,NZS,DZS,ZS%,iHF,iHF,iHA,iHDf,iMiss,iGVA,iTKA,iBLK,BLK%,iFOW,iFOL,FO%,dzFOW,dzFOL,nzFOW,nzFOL,ozFOW,ozFOL,FOW.Up,FOL.Up,FOW.Down,FOL.Down,FOW.Close,FOL.Close,Hat,OTG,1G,GWG,ENG,PSG,PSA,G.Bkhd,G.Dflct,G.Slap,G.Snap,G.Tip,G.Wrap,G.Wrst,CBar ,Post,Over,Wide,S.Bkhd,S.Dflct,S.Slap,S.Snap,S.Tip,S.Wrap,S.Wrst,iPenT,iPenD,iPENT,iPENT2,iPENT5,iPEND,iPEND2,iPEND5,iPenDf,NPD,Min,Maj,Match,Misc,Game,CF,CA,FF,FA,SF,SA,xGF,xGA,GF,GA,SH%,SV%,PDO,CF,CA,FF,FA,SF,SA,GF,GA,SCF,SCA,HDCF,HDCA,HDGF,HDGA,PENT,PEND,OPS,DPS,PS,GS,GS/G,Star,OWAR,DWAR,WAR,SOS,SOG,SOGDG,Grit,DAP,Pres,CPP,CPP,Pace,MGL,Injuries,CHIP,NMC,Status,Salary,Cap Hit,GP,G,A,PTS,+/-,PIM,Shot,TOI,OPS,DPS,PS,
1992-12-10,Plantation,FL,USA,USA,78,219,2012,7,210,L,2016,25,2,8477034,JAYCOB.MEGNA,Jaycob Megna,Megna,Jaycob,D,ANA,14,0,1,1,1,32,68,0.07,1,0.3,-4,0.1,2,285,13199,220,219.88,220,15.71,26.2,16.70%,19,19,19,14,14,7,4,0,0,0,0,0.37,46.8571,28.5,47.5,13,58,66,91,38.90%,6,6,18,-12,7,5,4,30,13.20%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,2,2,0,0,3,1,2,1,1,0,2,2,0,1,1.9,1,0,0,0,0,186,262,140,197,102,131,8.65,10.56,6,11,5.90%,0.916,0.975,187,263,140,198,102,131,6,11,81,124,32,47,5,7,31,20,-0.2,0.2,0,0.1,0.01,0.0582,0.08,0.02,0.1,,,,38,10,0.00%,0.8,1.4,122.2,,,,,RFA,"$650,000","$650,000",15,0,1,1,-3,2,7,235,-0.2,0.3,0.1,0.8
1994-08-06,Gothenburg,,SWE,SWE,72,169,2012,7,195,L,2017,23,1,8477043,CHRISTIAN.DJOOS,Christian Djoos,Djoos,Christian,D,WSH,63,3,11,9,14,17,73,0.22,0,4.7,13,3.8,10,1162,53050,884.2,884.17,884,14.03,23.51,31.80%,112,112,112,83,83,60,44,13,1,6,7,3.31,40.8167,176.1,288.1,19.6,356,317,233,60.40%,22,22,56,-34,23,33,13,55,8.10%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,3,19,2,0,20,9,0,0,29,5,6,5,5,0,6,6,0,1,3.1,5,0,0,0,0,881,807,672,621,455,428,39.06,36.56,44,33,9.70%,0.923,1.02,885,807,677,621,459,428,46,33,459,419,178,176,23,25,64,67,0.6,2.7,3.3,21.4,0.34,0.9845,1.02,-0.05,0.97,,,,87,7,1.50%,13,14.6,114.5,4,Upper body,195,,RFA,"$650,000","$650,000",63,3,11,14,13,10,60,884,0.6,2.7,3.3,13
1993-06-17,Rumson,NJ,USA,USA,71,185,2012,7,198,L,2017,24,1,8477046,JOAKIM.RYAN,Joakim Ryan,Ryan,Joakim,D,SJS,62,3,9,2,12,20,55,0.19,0,4.1,13,7.7,8,1297,62315,1038.6,1038.58,1039,16.75,28.3,27.30%,160,160,160,102,102,79,47,6,2,5,7,3.41,50.0127,57.4,217.4,12.6,343,362,279,55.10%,33,33,91,-58,23,16,14,98,12.10%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,0,1,1,21,1,0,34,8,0,0,36,4,2,4,4,0,2,2,0,-2,2.7,4,0,0,0,0,1132,1011,827,715,589,510,51.87,38.33,44,31,7.50%,0.939,1.014,1135,1011,830,715,592,510,44,31,556,467,223,182,26,17,53,55,0.2,3.5,3.7,25.1,0.41,1.0277,0.03,0.3,0.33,,,,139,11.8,1.60%,11.2,12.5,123.8,11,Upper body,87,,RFA,"$650,000","$650,000",62,3,9,12,13,8,79,1039,0.2,3.5,3.7,11.2
1993-03-29,Greenwich,CT,USA,USA,73,193,2011,3,73,L,2014,24,2,8476397,KEEGAN.LOWE,Keegan Lowe,Lowe,Keegan,D,EDM,2,0,0,0,0,29,108,0,0,0,-1,-0.2,0,40,1668,27.8,27.8,28,13.9,23.23,0.00%,10,10,10,5,5,4,5,2,0,1,1,0.58,21,0,10,21.6,11,9,7,61.10%,1,1,4,-3,1,1,1,1,2.90%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,28,36,17,33,11,23,1.84,2.05,1,2,9.10%,0.913,1.004,28,36,17,33,11,23,1,2,14,24,7,9,0,1,2,0,0,0,-0.1,0.1,0.03,0.0015,0,0,0,,,,2,0,0.00%,0,0,138.1,,,,,UFA,"$650,000","$650,000",4,0,0,0,-3,10,4,55,-0.1,-0.1,-0.2,0
1994-03-25,Sauble Beach,ON,CAN,CAN,77,233,,,,L,2017,23,1,8477073,KURTIS.MACDERMID,Kurtis MacDermid,MacDermid,Kurtis,D,LAK,34,1,3,1,4,28,88,0.12,0,1.4,-4,-4.1,57,568,23672,394.5,394.53,395,11.6,19.94,33.30%,43,43,43,27,27,19,13,2,1,3,4,1.02,44.7368,27.6,70.6,10.7,121,108,108,52.80%,77,77,48,29,8,23,3,27,7.80%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,6,0,0,5,0,0,0,14,17,4,17,13,4,8,4,4,-13,-7.2,11,5,0,0,1,323,403,236,317,172,218,12.75,19.9,12,14,7.00%,0.936,1.006,323,403,234,317,169,218,11,14,147,214,50,81,9,8,35,24,0,0.7,0.7,-0.7,-0.02,0.1713,-0.49,-0.22,-0.71,,,,166,7.3,1.00%,-1.7,2.6,110.4,,,,,RFA,"$650,000","$650,000",34,1,3,4,-4,57,19,395,0,0.7,0.7,-1.7
1994-05-27,Flin Flon,MB,CAN,CAN,73,195,,,,L,2017,23,1,8477085,ASHTON.SAUTNER,Ashton Sautner,Sautner,Ashton,D,VAN,5,0,2,1,2,29,53,0.4,0,0.6,4,0.4,2,88,4008,66.8,66.8,67,13.36,22.41,40.00%,5,5,5,4,4,3,1,1,0,0,0,0.18,41.3333,10,15,13.5,16,24,21,43.20%,9,9,4,5,1,0,0,5,9.80%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,-1,-0.7,1,0,0,0,0,50,61,43,46,30,33,2.32,2.23,5,1,16.70%,0.97,1.136,50,61,43,46,30,33,5,1,26,30,10,10,2,1,3,1,0.1,0.5,0.6,1.7,0.34,0.0122,-0.02,0.01,-0.02,,,,16,9,0.00%,1.8,1.9,99.7,,,,,RFA,"$720,000","$675,000",5,0,2,2,4,2,3,67,0.1,0.5,0.6,1.8
1994-02-02,Vaxjo,,SWE,SWE,73,195,,,,L,2017,23,1,8480157,CALLE.ROSEN,Calle Rosen,Rosen,Calle,D,TOR,4,0,1,0,1,26,68,0.25,0,0.3,-3,-0.8,4,78,3069,51.2,51.15,51,12.79,21.47,100.00%,13,13,13,8,8,5,5,0,0,2,2,0.26,46.2,0,13,15.2,24,18,11,68.60%,1,1,3,-2,3,1,2,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,3,0,0,0,2,1,2,2,0,1,1,0,-1,-0.8,2,0,0,0,0,55,38,38,32,23,26,2.33,2.78,1,4,4.30%,0.846,0.89,54,38,37,32,23,26,1,4,32,21,10,7,0,2,6,7,0,-0.1,-0.1,1.2,0.31,0.0186,0,0,0,,,,5,1.5,0.00%,0.6,0.8,109.1,,,,,RFA,"$925,000","$925,000",4,0,1,1,-3,4,5,51,0,-0.1,-0.1,0.6
1997-06-26,Regina,SK,CAN,CAN,71,209,2015,5,124,R,2017,20,1,8478451,ETHAN.BEAR,Ethan Bear,Bear,Ethan,D,EDM,18,1,3,2,4,23,104,0.22,0,1.4,-11,-5.1,10,417,20123,335.4,335.38,335,18.63,30.89,30.80%,45,45,45,28,28,20,12,0,0,1,1,0.76,55,43.5,88.5,15.8,132,83,74,64.10%,14,14,20,-6,8,18,5,28,8.90%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,0,14,2,0,0,4,5,2,5,5,0,2,2,0,-3,-1.5,5,0,0,0,0,333,373,240,287,166,212,15.19,21.23,13,21,7.80%,0.901,0.979,334,374,239,288,166,213,13,21,164,204,62,110,5,13,18,18,0.1,-0.2,-0.1,0.3,0.01,0.2036,-0.15,-0.4,-0.55,,,,52,3.8,2.00%,3,3.7,126.3,,,,,RFA,"$730,000","$720,000",18,1,3,4,-11,10,20,335,0.1,-0.2,-0.1,3
1983-10-03,Toronto,ON,CAN,CAN,72,198,,,,L,2005,34,12,8470966,MARK.GIORDANO,Mark Giordano,Giordano,Mark,D,CGY,82,13,25,6,38,7,46,0.46,-3.4,13.7,0,13.6,63,2301,121955,2032.6,2032.58,2033,24.79,40.85,38.40%,491,436,491,309,309,214,155,17,10,32,42,11.23,50.1636,145.1,636.1,18.8,831,637,812,50.60%,93,93,107,-14,95,46,50,161,9.90%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,1,0,3,0,0,0,9,2,2,6,85,3,0,53,27,1,0,130,26,21,27,26,1,18,17,1,-5,0.9,24,1,1,0,0,2366,1874,1779,1466,1229,1044,124.1,104.88,99,107,8.10%,0.898,0.978,2354,1875,1769,1467,1222,1043,99,106,1161,944,476,361,44,49,151,149,2.7,5,7.7,70,0.85,4.2712,1.24,-0.01,1.23,,,,318,6,6.40%,31.7,38.2,125.2,,,,,UFA,"$6,750,000","$6,750,000",755,112,266,378,55,642,1509,16895,32.8,41.8,74.7,31.7
1989-07-12,Ottawa,ON,CAN,CAN,73,207,2008,5,139,L,2011,28,7,8474697,MARK.BOROWIECKI,Mark Borowiecki,Borowiecki,Mark,D,OTT,52,3,8,3,11,16,51,0.21,6.9,3.9,-6,2,64,1114,45684,761.4,761.4,761,14.64,24.78,36.70%,132,132,132,98,98,66,40,11,5,7,12,3.31,55.0909,45.8,177.8,14,183,271,303,37.70%,226,226,103,123,32,17,11,81,12.60%,0,1,0.00%,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,29,1,2,14,13,0,0,36,23,12,23,17,6,18,12,6,-11,-1.8,17,6,0,0,0,646,803,505,562,381,413,29.55,31.16,30,40,7.90%,0.903,0.982,642,804,502,562,377,413,29,40,316,371,139,129,16,16,57,59,0.5,1.2,1.7,9.1,0.17,0.3948,0.06,0.03,0.09,,,,377,13.9,2.20%,4.6,10.6,114.2,4,Upper body,195,,UFA,"$1,200,000","$1,100,000",269,7,21,28,0,500,181,3933,-1.1,7.8,6.7,4.6
1986-06-08,Bojnice,,SVK,SVK,72,200,2004,3,71,L,2006,31,12,8471284,ANDREJ.SEKERA,Andrej Sekera,Sekera,Andrej,D,EDM,36,0,8,4,8,22,100,0.22,-4.5,2.4,-15,-4.5,6,804,35274,587.9,587.82,588,16.33,27.4,50.00%,95,95,95,50,50,36,25,2,3,7,10,1.43,52.1667,134.5,229.5,23.4,214,171,158,57.50%,27,27,48,-21,14,18,11,42,8.90%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12,0,0,12,7,0,1,16,3,1,3,3,0,1,1,0,-2,0.5,3,0,0,0,0,567,574,406,432,299,307,23.85,30.12,16,33,5.40%,0.893,0.946,566,575,407,433,300,308,17,33,267,294,99,134,11,19,27,33,0.1,0,0.1,4.8,0.13,0.0577,-0.2,-0.2,-0.4,,,,75,12.7,0.00%,7.4,8.1,116.5,6,Knee,329,,UFA,"$5,500,000","$5,500,000",683,45,187,232,-9,172,941,14197,13.6,30.7,44.3,7.4
1997-04-02,Surrey,BC,CAN,CAN,74,175,2015,1,26,R,2017,20,1,8478454,NOAH.JUULSEN,Noah Juulsen,Juulsen,Noah,D,MTL,23,1,2,1,3,26,51,0.13,0,1.1,1,-5.1,4,639,26804,446.7,446,447,19.42,32.21,21.40%,69,70,70,40,41,33,14,2,1,2,3,0.91,51.3333,32.5,101.5,13.7,119,173,192,38.30%,58,58,50,8,8,22,6,34,8.40%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,1,0,15,4,0,0,13,2,3,2,2,0,3,3,0,1,2.7,2,0,0,0,0,349,486,244,370,175,271,17.36,24.52,14,22,8.00%,0.919,0.999,349,486,244,371,175,272,14,22,155,231,68,104,8,16,32,29,-0.1,1.1,1,5,0.22,0.1083,0.08,-0.06,0.01,,,,96,32,1.70%,2.6,3.5,112.3,,,,,RFA,"$925,000","$863,333",23,1,2,3,1,4,33,447,-0.1,1.1,1,2.6
1990-02-23,Montreal,QC,CAN,CAN,75,208,2008,2,55,L,2010,27,8,8474618,MARCO.SCANDELLA,Marco Scandella,Scandella,Marco,D,BUF,82,5,17,11,22,9,42,0.27,2.4,7.6,-15,-7.9,37,2332,114719,1912,1911.98,1912,23.32,38.66,30.10%,306,306,306,202,202,138,82,10,4,18,22,6.97,53.2826,238,544,17.1,670,659,786,46.00%,91,91,93,-2,64,41,24,114,6.80%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,1,0,0,1,0,3,3,58,3,0,66,15,1,0,53,17,12,16,15,1,13,12,1,-5,1.4,16,1,0,0,0,1641,1996,1267,1561,934,1128,80.96,108.37,73,112,7.80%,0.901,0.979,1641,1993,1266,1558,937,1126,73,112,711,923,308,392,37,64,105,117,0.4,4,4.4,19.9,0.24,1.3378,0,-0.01,-0.01,,,,243,7.2,2.60%,18.3,22.3,114.1,,,,,UFA,"$4,000,000","$4,000,000",455,32,79,111,-25,185,641,9303,4.3,20.1,24.4,18.3
1985-03-09,Barrie,ON,CAN,CAN,77,230,2003,1,20,R,2003,32,14,8470613,BRENT.BURNS,Brent Burns,Burns,Brent,D,SJS,82,12,55,30,67,1,0,0.82,20.4,21.6,-16,4.4,46,2275,124194,2069.9,2069.77,2070,25.24,41.62,60.90%,774,609,775,481,482,332,189,20,11,36,47,16.34,54.1657,661.3,1435.3,41.6,992,641,496,66.70%,79,79,79,0,150,124,75,136,9.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,6,1,0,0,4,1,4,13,132,7,2,112,53,0,0,158,22,7,25,25,0,7,7,0,-15,-9.2,22,0,0,0,0,2567,1872,1848,1375,1292,1019,129.08,98.9,110,93,8.50%,0.909,0.994,2569,1871,1850,1374,1296,1018,111,93,1245,929,498,398,49,54,121,135,5.4,3.7,9.1,83.4,1.02,6.4894,0.39,-0.75,-0.36,5,1,0,261,7,5.10%,62.4,65.2,128.7,,,,,UFA,"$10,000,000","$8,000,000",961,182,384,566,2,617,2571,20658,52,46.6,98.5,62.4
1984-01-19,Edmonton,AB,CAN,CAN,74,227,2002,2,61,R,2007,34,11,8470187,JOHNNY.BOYCHUK,Johnny Boychuk,Boychuk,Johnny,D,NYI,58,6,12,8,18,13,67,0.31,0.7,6.5,-8,-11.4,30,1417,70268,1171.1,1171.13,1171,20.19,33.65,33.30%,281,282,282,199,200,141,52,3,4,9,13,5.01,59.383,146.8,427.8,21.9,348,368,528,39.70%,114,114,87,27,59,46,15,112,9.70%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4,2,0,0,0,0,1,4,54,0,0,91,16,0,0,34,12,7,13,11,2,9,7,2,-5,1.6,10,2,0,0,0,996,1388,746,1047,553,765,44.6,70.84,54,79,9.80%,0.897,0.994,996,1385,747,1044,555,762,55,78,473,749,181,290,27,46,67,56,1,1.3,2.3,20.3,0.35,1.9892,-0.04,-0.04,-0.08,,,,258,12.9,3.30%,15,18.3,122.1,4,Undisclosed,195,,UFA,"$7,000,000","$6,000,000",587,49,127,176,124,292,1294,12037,10.4,32.3,42.7,15
1984-08-14,Kelowna,BC,CAN,CAN,73,204,,,,L,2005,33,13,8470324,JOSH.GORGES,Josh Gorges,Gorges,Josh,D,BUF,34,0,2,1,2,25,62,0.06,-3.5,0.6,-4,-3.9,17,746,30478,508,507.97,508,14.94,25.32,16.70%,35,35,35,25,25,15,8,0,0,3,3,0.54,47.9333,27.6,62.6,7.4,116,165,173,40.10%,69,69,58,11,10,7,3,54,12.20%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,0,1,5,4,0,0,5,7,5,7,6,1,5,4,1,-2,-1,6,1,0,0,0,351,519,274,388,191,290,14.13,20.69,12,20,6.30%,0.931,0.994,347,519,271,388,189,290,12,20,154,239,75,80,7,9,37,26,-0.4,1.1,0.6,0.2,0.01,0.0477,0.02,0.55,0.57,,,,141,12,0.00%,0.3,1.8,102.8,4,Lower body,195,,UFA,"$3,900,000","$3,900,000",783,17,107,124,-6,404,515,15532,-3.2,36,32.8,0.3
1990-03-07,Detroit,MI,USA,USA,75,192,,,,L,2012,27,6,8477215,DANNY.DEKEYSER,Danny DeKeyser,DeKeyser,Danny,D,DET,65,6,6,2,12,18,51,0.18,-5.9,4.8,2,-2.5,28,1882,79256,1320.9,1320.93,1321,20.32,33.76,24.50%,147,148,148,96,97,65,43,11,3,4,7,3.73,53.8308,23.5,170.5,7.7,367,468,555,39.80%,76,76,88,-12,32,31,6,125,11.20%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,1,0,1,2,29,2,0,24,13,0,0,26,14,1,14,14,0,2,2,0,-13,-4.7,14,0,0,0,0,1090,1326,814,989,586,733,47.4,65.86,49,69,8.40%,0.906,0.989,1090,1328,815,991,587,735,49,69,512,639,192,245,30,31,63,77,0.2,3.3,3.5,16.1,0.25,1.4681,-0.36,0.06,-0.3,,,,229,5.9,3.70%,9.2,11.1,109.7,4,Ankle,195,,UFA,"$5,500,000","$5,000,000",381,24,75,99,7,179,410,8101,3.6,19,22.6,9.2
1992-07-18,Wisconsin Rapids,WI,USA,USA,73,185,,,,R,2015,25,3,8479268,CASEY.NELSON,Casey Nelson,Nelson,Casey,D,BUF,37,3,5,3,8,17,56,0.22,-0.2,3,-14,-5,8,903,41692,694.9,694.87,695,18.78,31.56,36.40%,103,103,103,66,66,48,24,7,2,3,5,2.27,50.4583,64.2,167.2,14.4,198,219,207,48.90%,31,31,53,-22,18,23,8,37,6.90%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,18,3,0,9,7,0,2,27,4,3,4,4,0,3,3,0,-1,3,4,0,0,0,0,565,629,424,497,320,349,21.35,29.99,22,41,6.90%,0.883,0.951,559,630,421,498,318,349,22,41,229,290,97,124,14,27,43,42,0.3,0.8,1.1,5.9,0.16,0.3033,-0.49,0.2,-0.29,,,,76,9.8,3.40%,7.2,8.6,103.1,1,Lower body,8,,UFA,"$650,000","$650,000",55,3,9,12,-16,20,63,937,0.4,1.2,1.7,7.2
1991-01-03,Hamilton,ON,CAN,CAN,70,180,2009,1,11,R,2011,27,7,8475176,RYAN.ELLIS,Ryan Ellis,Ellis,Ryan,D,NSH,44,9,23,12,32,11,32,0.73,14.4,11.5,26,4.1,6,1229,61661,1027.7,1027.67,1028,23.36,38.72,50.80%,220,220,220,159,159,110,58,7,5,15,20,6.07,54.1455,173.2,393.2,23,384,363,383,50.10%,27,27,37,-10,49,33,33,84,10.30%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,2,1,3,4,41,2,3,60,8,1,0,36,3,8,4,4,0,9,9,0,5,9.1,3,0,0,0,0,1125,996,824,732,598,552,53.87,47.72,63,40,10.50%,0.928,1.033,1121,998,820,734,597,553,63,41,498,504,191,172,34,17,46,54,3,4,7,44.6,1.01,3.3388,0.47,0.37,0.85,6,2,1,117,20,6.70%,31.4,33.8,123.8,4,Knee,195,,UFA,"$3,000,000","$2,500,000",396,55,118,173,76,140,725,7764,15.8,22.5,38.3,31.4
1991-05-09,Carp,ON,CAN,CAN,73,198,2009,1,12,L,2011,26,6,8475177,CALVIN.DE HAAN,Calvin de Haan,de Haan,Calvin,D,NYI,33,1,11,6,12,17,73,0.36,3.6,3.7,11,-0.6,8,770,37124,618.7,618.7,619,18.75,31.08,34.30%,91,91,91,63,63,44,22,3,2,7,9,1.46,61.3864,85.7,176.7,17.1,136,210,232,37.00%,45,45,42,3,19,24,14,65,11.70%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,16,0,0,10,7,0,0,27,4,4,3,3,0,4,4,0,0,2.4,4,0,0,0,0,508,663,380,492,273,370,27.13,33.09,35,38,12.80%,0.897,1.026,507,662,378,491,268,370,35,39,281,359,124,129,19,17,38,42,0.6,1.9,2.4,14.3,0.43,0.6072,0.49,0.07,0.57,,,,118,14.8,1.00%,11.2,12.5,113.6,4,Upper body,195,,UFA,"$3,300,000","$3,300,000",304,12,69,81,26,118,427,6053,2.8,13.3,16.2,11.2
1991-03-20,Eden Prairie,MN,USA,USA,72,204,2009,1,16,L,2010,26,8,8475181,NICK.LEDDY,Nick Leddy,Leddy,Nick,D,NYI,80,10,32,15,42,6,43,0.53,7.3,14.3,-42,-13.8,20,1966,107621,1793.7,1792.6,1794,22.42,36.98,41.60%,311,312,312,210,210,153,116,10,3,22,25,8.94,51.1242,283.9,594.9,19.9,756,563,537,58.50%,95,95,72,23,57,57,21,104,7.30%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,6,1,0,0,3,0,3,5,49,2,0,67,14,3,0,67,10,8,9,9,0,8,8,0,-2,5.9,10,0,0,0,0,1833,1739,1353,1328,997,968,100.24,94.11,101,118,10.10%,0.878,0.979,1835,1740,1355,1330,1003,968,102,117,1012,927,409,386,60,68,89,94,3.1,-0.3,2.8,29.8,0.37,3.1732,0.04,-0.83,-0.79,,,,219,11.6,4.10%,40,43.2,119.6,1,Undisclosed,67,,UFA,"$5,000,000","$5,500,000",578,56,202,258,-26,105,850,11702,20.5,18.6,39.1,40
1990-11-19,Winnetka,IL,USA,USA,74,210,2009,1,21,L,2010,27,8,8475186,JOHN.MOORE,John Moore,Moore,John,D,NJD,81,7,11,5,18,15,75,0.22,0.1,7,3,-1,47,2210,97245,1620.8,1620.75,1621,20.01,33.11,25.40%,265,265,265,197,197,141,67,8,8,15,23,6.31,50.4397,104.9,369.9,13.7,529,505,549,49.10%,135,135,133,2,56,48,17,105,7.50%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,2,5,0,0,0,0,2,4,50,4,1,45,44,0,0,47,22,2,22,21,1,3,2,1,-20,-7.4,21,1,0,0,0,1425,1662,1096,1298,823,929,73.51,87.2,71,81,8.60%,0.913,0.999,1419,1661,1091,1296,818,926,69,81,708,879,286,329,45,46,101,94,0.6,3.9,4.5,21.7,0.27,1.2301,-0.42,-0.11,-0.52,,,,288,7.2,3.00%,13.3,16.5,114.3,,,,M-NTC,UFA,"$1,950,000","$1,666,667",447,32,67,99,-32,184,634,7811,5,16.2,21.1,13.3
1991-01-21,Davidson,SK,CAN,CAN,76,212,2009,3,66,L,2011,27,6,8475188,BRAYDEN.MCNABB,Brayden McNabb,McNabb,Brayden,D,VGK,76,5,10,2,15,16,63,0.2,-1,5.5,26,0.8,52,1920,91892,1531.4,1530.08,1532,20.15,33.74,19.70%,193,193,193,123,123,88,46,5,5,9,14,3.74,58.4205,38.9,231.9,9.1,438,541,642,40.60%,225,225,98,127,35,40,30,176,13.50%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,3,0,0,0,35,1,0,28,11,0,0,48,23,7,22,20,2,8,6,2,-16,-3.2,21,2,0,0,0,1360,1587,1004,1130,728,817,62.53,74.72,76,76,10.40%,0.907,1.011,1366,1588,1011,1129,731,817,76,74,662,790,233,302,37,36,87,85,0.2,5,5.2,30,0.39,1.1913,-0.07,-0.14,-0.21,,,,455,12.1,2.10%,9.8,14.4,115.6,4,Upper body,195,,UFA,"$1,800,000","$1,700,000",314,12,53,65,49,271,333,5575,1.5,16.6,18.2,9.8
1990-05-07,San Diego,CA,USA,USA,71,191,,,,R,2012,27,6,8477244,CHAD.RUHWEDEL,Chad Ruhwedel,Ruhwedel,Chad,D,PIT,44,2,3,1,5,23,93,0.11,-2.9,1.9,-8,2.3,16,955,41516,691.9,691.95,692,15.73,26.48,26.30%,134,134,134,96,96,67,32,0,2,7,9,2.34,58.3582,35,169,14.7,247,201,204,54.80%,67,66,41,25,29,9,11,43,8.10%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,26,0,0,15,6,0,0,46,8,8,8,8,0,8,8,0,0,5,8,0,0,0,0,689,654,538,491,396,354,27.27,30.78,19,32,4.80%,0.91,0.958,684,654,532,491,391,354,18,32,332,333,126,136,10,16,40,40,-0.1,0.8,0.7,13,0.29,0.155,0.06,0.07,0.13,,,,126,9.8,1.40%,3.4,6,116.5,4,Upper body,195,,UFA,"$650,000","$650,000",111,4,13,17,1,28,160,1822,0,3.8,3.7,3.4
