Born,City,Pr/St,Cntry,Nat,Ht,Wt,DftYr,DftRd,Ovrl,Hand,Debut,Age,Seasons,NHLid,CorsicaID,H-Ref Name,Last Name,First Name,Position,Team,GP,G,A,A1,PTS,Rnk,Gap,PTS/GP,PAX,GC,+/-,E+/-,PIM,Shifts,TOI,TOI,TOI,TOI,TOI/GP,TOI%,IPP%,iCF,iCF,iCF,iFF,iFF,iSF,iSCF,iHDCF,iRush,iReb,iDS,ixG,sDist,Pass,TOff,TOff/60,OZS,NZS,DZS,ZS%,iHF,iHF,iHA,iHDf,iMiss,iGVA,iTKA,iBLK,BLK%,iFOW,iFOL,FO%,dzFOW,dzFOL,nzFOW,nzFOL,ozFOW,ozFOL,FOW.Up,FOL.Up,FOW.Down,FOL.Down,FOW.Close,FOL.Close,Hat,OTG,1G,GWG,ENG,PSG,PSA,G.Bkhd,G.Dflct,G.Slap,G.Snap,G.Tip,G.Wrap,G.Wrst,CBar ,Post,Over,Wide,S.Bkhd,S.Dflct,S.Slap,S.Snap,S.Tip,S.Wrap,S.Wrst,iPenT,iPenD,iPENT,iPENT2,iPENT5,iPEND,iPEND2,iPEND5,iPenDf,NPD,Min,Maj,Match,Misc,Game,CF,CA,FF,FA,SF,SA,xGF,xGA,GF,GA,SH%,SV%,PDO,CF,CA,FF,FA,SF,SA,GF,GA,SCF,SCA,HDCF,HDCA,HDGF,HDGA,PENT,PEND,OPS,DPS,PS,GS,GS/G,Star,OWAR,DWAR,WAR,SOS,SOG,SOGDG,Grit,DAP,Pres,CPP,CPP,Pace,MGL,Injuries,CHIP,NMC,Status,Salary,Cap Hit,GP,G,A,PTS,+/-,PIM,Shot,TOI,OPS,DPS,PS,
1985-01-21,Madison,WI,USA,USA,74,202,2003,1,7,L,2005,33,13,8470600,RYAN.SUTER,Ryan Suter,Suter,Ryan,D,MIN,78,6,45,24,51,4,25,0.65,13.2,16.2,-1,12.3,34,2108,125318,2088.6,2088.63,2089,26.78,44,45.50%,323,323,323,214,214,149,97,16,3,19,22,7.7,50.0201,484.9,807.9,23.2,754,673,824,47.80%,78,78,55,23,65,37,14,138,8.30%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,1,0,3,1,0,7,57,2,1,30,23,2,0,91,17,6,16,16,0,6,6,0,-11,-0.7,17,0,0,0,0,2016,2040,1556,1533,1155,1120,114.14,86.69,112,106,9.70%,0.905,1.002,2013,2041,1553,1534,1155,1120,112,106,994,897,456,308,63,50,108,103,3.2,4.2,7.4,45,0.58,4.208,0.39,1.45,1.84,,,,250,5.4,2.60%,47.6,50.9,116.5,4,Ankle,368,,UFA,"$9,000,000","$7,538,462",991,75,418,493,110,602,1718,24862,31.6,63.9,95.5,47.6
1985-02-27,Shaunavon,SK,CAN,CAN,77,223,2003,1,8,L,2005,32,13,8470601,BRAYDON.COBURN,Braydon Coburn,Coburn,Braydon,D,TBL,72,1,14,9,15,16,85,0.21,-2.6,4.6,3,-2.3,40,1541,69223,1153.7,1153.72,1154,16.02,26.93,34.10%,162,162,162,106,106,73,48,9,4,8,12,2.84,52.9589,196.9,358.9,18.7,245,433,443,35.60%,77,77,82,-5,33,23,11,75,7.60%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,29,2,0,23,10,2,0,36,17,2,17,15,2,4,2,2,-15,-8.5,15,2,0,0,0,917,1203,690,912,507,684,40.92,55.11,44,59,8.70%,0.914,1.001,922,1202,693,911,509,682,43,59,481,597,168,211,24,33,83,68,0.2,1.8,2,15.5,0.21,0.3307,-0.5,-0.05,-0.56,,,,194,5.9,0.40%,11,13.3,110.3,4,Undisclosed,195,M-NTC,UFA,"$3,700,000","$3,700,000",850,44,161,205,40,656,1123,16956,7,35.9,42.9,11
1985-04-10,Edmonton,AB,CAN,CAN,76,225,2003,1,9,L,2005,32,13,8470602,DION.PHANEUF,Dion Phaneuf,Phaneuf,Dion,D,"OTT, LAK",79,6,20,11,26,0,0,0.33,-14.5,8.9,-15,-11.3,49,2094,94786,1579.8,1579.27,1580,20,33.31,41.30%,257,257,256,185,184,134,68,7,2,18,20,5.13,53.7985,192.9,449.9,17.1,511,500,546,48.30%,161,161,70,91,50,52,20,154,11.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,1,0,0,10,40,5,1,59,16,1,0,52,20,15,21,18,3,17,15,2,-5,4.6,17,3,0,0,0,1408,1702,1048,1246,759,888,62.08,82.75,63,84,8.30%,0.905,0.988,1408,1704,1048,1246,761,887,63,84,640,816,227,317,35,43,85,94,1.3,2.5,3.8,16.5,0.21,2.4156,-0.24,-0.46,-0.7,,,,367,10.6,6.20%,21.1,26.9,118.2,,,,,UFA,"$7,000,000","$7,000,000",981,136,352,488,-36,1292,2434,23592,39.4,46.9,86.3,21.1
1985-04-20,Richmond,BC,CAN,CAN,75,220,2003,1,14,R,2005,32,13,8470607,BRENT.SEABROOK,Brent Seabrook,Seabrook,Brent,D,CHI,81,7,19,8,26,8,50,0.32,-9.6,9.1,-3,-1,38,2329,98159,1636,1635.98,1636,20.2,33.57,34.70%,307,307,307,195,195,136,98,14,6,19,25,7.4,52.8309,153.2,460.2,16.9,686,512,613,52.80%,85,85,101,-16,59,71,25,170,12.00%,0,2,0.00%,0,1,0,0,0,1,0,0,0,0,0,2,0,0,3,0,1,0,0,0,0,3,1,0,0,3,0,1,2,56,2,0,78,8,2,0,46,19,8,19,19,0,8,8,0,-11,-2.5,19,0,0,0,0,1728,1688,1213,1242,887,924,83.79,90.53,75,88,8.50%,0.905,0.989,1734,1688,1216,1242,891,923,74,89,884,861,321,379,40,53,89,94,1.4,3.5,4.9,36.4,0.45,1.5452,0.32,-0.75,-0.43,,,,293,5.8,3.20%,22.2,25.5,125.3,,,,,UFA,"$9,000,000","$6,875,000",1004,95,337,432,116,612,1791,22372,30.6,53.6,84.1,22.2
1989-11-29,Edmonton,AB,CAN,CAN,69,168,2008,6,156,R,2010,28,8,8474716,JARED.SPURGEON,Jared Spurgeon,Spurgeon,Jared,D,MIN,61,9,28,12,37,7,39,0.61,14.1,12.7,-6,14.6,8,1639,89837,1497.3,1497.28,1497,24.55,40.45,47.40%,234,234,234,161,161,110,68,18,3,15,18,8.22,46.7818,241.4,475.4,19.1,552,505,610,47.50%,64,64,60,4,51,20,23,127,10.50%,0,1,0.00%,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,1,3,1,1,0,3,2,4,2,43,1,1,60,5,1,0,42,4,6,4,4,0,5,5,0,2,5.9,4,0,0,0,0,1445,1469,1104,1079,836,793,81.05,61.26,78,83,9.30%,0.895,0.989,1440,1467,1100,1077,833,790,78,83,718,634,349,213,49,36,79,72,2.9,2.6,5.4,36.4,0.6,4.1192,1.02,0.73,1.75,1,0,0,199,21.8,5.00%,36.2,38.2,116.8,4,Illness,195,NTC,UFA,"$5,500,000","$5,187,500",509,56,149,205,51,76,792,11231,15,29.8,44.7,36.2
1990-03-23,Montreal,QC,CAN,CAN,73,207,2008,6,152,L,2012,27,6,8474717,MARK.BARBERIO,Mark Barberio,Barberio,Mark,D,COL,46,3,10,5,13,18,84,0.28,3.5,4.5,6,-1.5,31,1067,47693,794.9,794.88,795,17.28,28.99,41.90%,124,124,124,83,83,52,47,6,1,10,11,2.64,56.2115,98,222,16.8,154,230,316,32.80%,26,26,40,-14,31,16,8,62,9.20%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,0,0,0,0,1,1,29,1,0,18,7,0,0,26,14,2,14,14,0,3,3,0,-12,-7.9,13,1,0,0,0,671,844,480,610,351,427,27.18,35.01,31,31,8.80%,0.927,1.016,664,846,472,612,343,429,30,31,301,405,102,138,17,15,60,70,0.7,2.1,2.8,12.5,0.27,0.5664,-0.47,0.43,-0.04,,,,120,2.6,2.10%,9.9,11.4,114.4,33,Lower body,302,NTC,UFA,"$700,000","$750,000",239,13,40,53,5,95,272,3958,2.3,8.5,10.8,9.9
1988-08-24,Maple Ridge,BC,CAN,CAN,69,187,,,,L,2013,29,5,8476779,BRAD.HUNT,Brad Hunt,Hunt,Brad,D,VGK,45,3,15,7,18,13,60,0.4,5.7,6,-5,0.2,6,944,44947,749.1,748.7,749,16.65,27.86,45.00%,154,156,156,108,110,80,45,6,0,3,3,4.33,46.4875,110.3,264.3,21.2,330,219,184,64.20%,19,19,58,-39,30,11,22,36,7.50%,0,1,0.00%,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,4,25,1,0,32,8,1,0,38,3,0,3,3,0,0,0,0,-3,0.4,3,0,0,0,0,786,569,589,443,424,323,35.4,24.83,40,27,9.40%,0.916,1.011,784,572,588,446,423,325,41,29,372,267,127,107,20,18,45,41,1.3,1.1,2.3,20.2,0.45,0.9086,-0.07,0,-0.07,,,,61,13.7,2.10%,17.4,18.1,108.6,,,,,UFA,"$650,000","$650,000",78,5,22,27,-16,10,127,1275,1.8,1.3,3.2,17.4
1996-10-27,Malmö,,SWE,SWE,73,214,2015,2,53,R,2016,21,2,8478397,RASMUS.ANDERSSON,Rasmus Andersson,Andersson,Rasmus,D,CGY,10,0,0,0,0,30,84,0,0,0,-1,1.6,4,207,9263,154.4,154.38,154,15.44,26.1,0.00%,23,23,23,13,13,8,7,0,0,1,1,0.45,50.125,0,23,8.9,49,50,33,59.80%,2,2,13,-11,5,4,0,10,9.30%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,7,2,3,2,2,0,3,3,0,1,0.7,2,0,0,0,0,168,122,133,98,93,67,8.35,5.78,6,7,6.50%,0.896,0.96,170,122,135,98,95,67,6,7,86,61,29,22,5,6,11,13,-0.2,0.3,0.1,1.9,0.19,0.0075,0.15,0.03,0.18,,,,16,1,0.00%,-0.4,0.1,112.7,,,,,RFA,"$742,500","$755,833",11,0,0,0,-2,4,8,173,-0.2,0.3,0,-0.4
1985-08-14,Sicamous,BC,CAN,CAN,76,230,2003,2,49,R,2005,32,13,8470642,SHEA.WEBER,Shea Weber,Weber,Shea,D,MTL,26,6,10,5,16,12,38,0.62,1,6.1,-8,3.6,14,796,39543,659.1,658.97,659,25.35,41.83,57.10%,163,163,163,114,114,75,45,5,0,13,13,3.98,54.8533,122.1,285.1,26,270,230,239,53.00%,66,66,30,36,39,31,7,59,10.90%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0,6,32,0,0,46,2,0,0,27,7,5,7,7,0,5,5,0,-2,1.6,7,0,0,0,0,744,657,559,483,415,345,36.74,35.46,28,37,6.70%,0.893,0.96,751,660,563,484,418,346,28,38,358,328,158,129,17,20,43,42,1.5,0.9,2.4,22.3,0.86,2.4299,0.32,-0.01,0.31,,,,139,10.4,9.40%,14.6,16.3,127.6,4,Lower body,195,,UFA,"$12,000,000","$7,857,143",867,189,312,501,60,620,2310,20946,50.3,51.4,101.7,14.6
1996-03-29,Elkhorn,MB,CAN,CAN,75,181,2014,1,17,L,2017,21,1,8477948,TRAVIS.SANHEIM,Travis Sanheim,Sanheim,Travis,D,PHI,49,2,8,5,10,16,92,0.2,0,3.3,-6,5.4,20,1002,45815,763.6,764.25,764,15.58,26.36,38.50%,151,151,151,100,100,72,46,6,3,11,14,3.15,51.2083,139.8,290.8,22.8,254,229,198,56.20%,27,27,60,-33,28,36,8,35,6.60%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,26,4,0,15,17,0,0,36,9,2,10,10,0,2,2,0,-7,-4.6,9,0,0,0,0,737,651,554,494,413,357,31.49,27.97,26,34,6.30%,0.905,0.968,743,649,561,491,418,354,26,33,344,298,125,118,14,17,49,60,0.3,1,1.3,16.8,0.34,0.6217,0.01,0.15,0.15,,,,82,3.9,1.40%,8,9.1,109,,,,NTC,RFA,"$832,500","$863,333",49,2,8,10,-6,20,72,764,0.3,1,1.3,8
1988-07-26,Traverse City,MI,USA,USA,74,212,2008,7,184,R,2012,29,6,8474743,ZACH.REDMOND,Zach Redmond,Redmond,Zach,D,BUF,3,0,0,0,0,31,64,0,-0.9,0,1,0.5,2,59,2606,43.4,43.43,43,14.48,24.24,0.00%,10,10,10,7,7,7,4,1,0,0,0,0.18,48,0,10,13.8,17,11,12,58.60%,4,4,3,1,0,0,1,2,6.30%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,1,0,1,1,0,0,0,0,-1,-0.8,1,0,0,0,0,35,37,29,30,25,23,1.02,1.72,3,2,12.00%,0.913,1.033,34,37,29,30,25,23,3,2,17,11,6,7,1,1,3,3,-0.1,0.2,0.1,0.5,0.16,0.0041,0,0,0,,,,8,5,0.00%,-0.2,-0.2,99.5,,,,,UFA,"$650,000","$612,500",133,9,29,38,12,50,157,1998,2.8,5.4,8.1,-0.2
1991-04-12,Livonia,MI,USA,USA,69,186,,,,L,2011,26,7,8476792,TOREY.KRUG,Torey Krug,Krug,Torey,D,BOS,76,14,45,26,59,4,26,0.78,17.5,20.2,0,9.9,36,1898,93030,1550.5,1550.5,1551,20.4,33.77,54.60%,416,401,416,274,274,197,152,18,5,25,30,11.55,48.8782,379.2,795.2,30.8,850,504,352,70.70%,79,79,111,-32,77,71,35,73,7.20%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,8,1,0,0,4,0,5,7,65,1,1,85,28,1,1,80,18,13,19,19,0,14,14,0,-5,2,18,0,0,0,0,1839,1217,1383,943,993,697,94.88,60.49,108,65,10.90%,0.907,1.016,1830,1214,1374,939,985,694,108,65,976,595,334,215,52,35,103,96,5.6,3.3,8.8,64.8,0.85,7.1237,0.72,-0.04,0.68,,,,188,6.3,6.00%,55.4,59.4,118.3,4,Upper body,195,,UFA,"$5,500,000","$5,250,000",398,52,183,235,28,154,1040,8013,21.8,18.6,40.4,55.4
1994-07-29,Moscow,,RUS,RUS,75,194,2015,4,101,L,2017,23,1,8478842,ANDREI.MIRONOV,Andrei Mironov,Mironov,Andrei,D,COL,10,1,2,0,3,24,94,0.3,0,1.1,2,-1.7,12,159,6628,110.5,110.47,110,11.05,18.75,75.00%,9,9,9,4,4,3,2,1,2,0,2,0.11,46,0,9,4.9,36,31,25,59.00%,19,19,8,11,1,3,1,16,15.50%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,6,0,6,6,0,0,0,0,-6,-4.6,6,0,0,0,0,74,135,46,87,35,64,1.72,4.96,4,4,11.40%,0.938,1.052,74,135,46,87,35,64,4,4,30,63,11,24,2,2,13,10,0.3,0.4,0.7,0.3,0.03,0.0086,-0.01,-0.12,-0.13,,,,47,3.3,3.20%,1.8,2.1,113.5,,,,,RFA,"$925,000","$925,000",10,1,2,3,2,12,3,110,0.3,0.4,0.7,1.8
